,word,origin_type,source_language,original_word
818,match,immediate,French,mèche
819,mason,immediate,French (Anglo-Norman),macium
820,marry,immediate,French,marier
821,manner,immediate,French (Anglo-Norman),manere
822,manioc,immediate,French,manioc
823,"male, male",immediate,French (Anglo-Norman),male
824,magic,immediate,French,magique
825,machine,immediate,French,machine
826,lizard,immediate,French (Anglo-Norman),lezard
827,line,immediate,French,ligne
828,letter,immediate,French,lettre
829,lemon,immediate,French,limon
830,latch,immediate,French (Anglo-Norman),lache
831,large,immediate,French,large
832,language,immediate,French,langage
833,lamp,immediate,French,lampe
834,lake,immediate,French,lac
835,judgment,immediate,French,jugement
836,judge,immediate,French,juge
837,join,immediate,French,joindre
838,jewel,immediate,French (Anglo-Norman),juel
839,jealous,immediate,French,jaloux
840,jaw,immediate,Old French,joe
841,invite,immediate,French,inviter
842,intention,immediate,French (Anglo-Norman),intencion
843,injure,immediate,French,injurer
844,in front of,immediate,French,front
845,idol,immediate,French (Anglo-Norman),idele
846,hut,immediate,French,hutte
847,hurt,immediate,French (Anglo-Norman),hurter
848,hour,immediate,French (Anglo-Norman),ure
849,host,immediate,Old French,hoste
850,heron,immediate,French (Anglo-Norman),hairon
851,headband,immediate,French,bande
852,"handkerchief, hankie",immediate,French (Anglo-Norman),courchief
853,guard,immediate,French,garde
854,grief,immediate,French (Anglo-Norman),grief
855,grease,immediate,French,graisse
856,grape,immediate,Old French,grappe
857,grandson,immediate,French,grand
859,grain,immediate,French,grain
860,government,immediate,French,gouvernement
861,govern,immediate,French,gouverner
862,gourd,immediate,French,gourde
863,goitre,immediate,French,goître
864,glue,immediate,French,glu
865,garden,immediate,French (Anglo-Norman),gardin
866,fur,immediate,French,forrer
867,fry,immediate,French,frire
868,fruit,immediate,French,fruit
869,fortress,immediate,French,forteresse
870,forge,immediate,French,forge
871,forest,immediate,French,forêt
872,footprint,immediate,Middle French,prente
873,flute,immediate,French,flahute
874,flower,immediate,Old French,flour
875,flour,immediate,French,fleur (de farine)
876,flame,immediate,French,flamme
877,finish,immediate,French,finir
878,fine,immediate,French (Anglo-Norman),fin
879,fig,immediate,French,figue
880,fever,immediate,French (Anglo-Norman),fievre
881,fence,immediate,French,défense
882,female,immediate,French,femelle
883,female,immediate,French (Anglo-Norman),femelle
884,fault,immediate,French,faute
885,farmer,immediate,French,fermier
886,famine,immediate,French,faim
887,falsity,immediate,French,falsete
888,faithful,immediate,French (Anglo-Norman),fed
889,fairy,immediate,French (Anglo-Norman),faierie
890,face,immediate,French (Anglo-Norman),face
891,envy,immediate,French,envie
892,enter,immediate,French,entrer
893,enemy,immediate,French,ennemi
894,embrace,immediate,French,embrasser
895,elephant,immediate,French,olifant
896,election,immediate,French,election
897,easy,immediate,French (Anglo-Norman),aisié
898,eagle,immediate,French,aigle
899,driving licence,immediate,French,licence
900,dress,immediate,French,dresser
901,doubt,immediate,French,doute
902,doorpost,immediate,French,poste
903,dolphin,immediate,Old French,delfin
904,doctor,immediate,Middle French,docto(u)r
905,divorce,immediate,French,divorce
906,disease,immediate,Old French,disease
907,disappear,immediate,French,désapparaître
908,dinner,immediate,Old French,disner
